Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,0.00296100230712891,1100,0.0026368
1110,0.0031426346159935,1110,0.0028456
1120,0.00286605866775513,1120,0.0026304
1130,0.00333882971801758,1130,0.0030976
1140,0.00319524491195679,1140,0.0029888
1150,0.00346021498026848,1150,0.0032564
1160,0.00344222948784828,1160,0.0032508
1170,0.00351302514095306,1170,0.0033188
1180,0.00356986278457642,1180,0.0033688
1190,0.00359077687625885,1190,0.0033808
1200,0.00338408948659897,1200,0.0031784
1210,0.003496339453125,1210,0.0032768
1220,0.00326238020095825,1220,0.0030528
1230,0.00299331692490578,1230,0.0027972
1240,0.00311240669775009,1240,0.002908
1250,0.00335123183169365,1250,0.0031308
1260,0.0030562797703743,1260,0.002854
1270,0.0029402665397644,1270,0.0027456
1280,0.00322163421583176,1280,0.0030088
1290,0.00321814694824219,1290,0.0030232
1300,0.00318325315561295,1300,0.0030344
1310,0.00336714838457108,1310,0.0032724
1320,0.00344087537455559,1320,0.0034084
1330,0.00295,1330,0.00295
1340,0.00330407659621239,1340,0.0032676
1350,0.00314290424060822,1350,0.0030224
1360,0.00355084305953979,1360,0.003304
1370,0.00293810241889954,1370,0.002672
1380,0.0036688009806633,1380,0.0032888
1390,0.00362796392326355,1390,0.0032296
1400,0.00368358784575462,1400,0.0032628
1410,0.00379039600143433,1410,0.0033524
1420,0.00377797625904083,1420,0.0033296
1430,0.00321051175117493,1430,0.002808
1440,0.00336291241788864,1440,0.0029048
1450,0.00313119458503723,1450,0.0026632
1460,0.00349681503839493,1460,0.0029244
1470,0.00427327275466919,1470,0.003504
1480,0.00375631481413841,1480,0.0030164
1490,0.00401736737594605,1490,0.0031552
1500,0.00401543267822266,1500,0.0030856
