Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,0.00412303400745392,1100,0.0036716
1110,0.00486900741319656,1110,0.0044088
1120,0.00514112348613739,1120,0.0047184
1130,0.00433909895172119,1130,0.0040256
1140,0.00456237526307106,1140,0.0042676
1150,0.00507747551336288,1150,0.0047784
1160,0.00463157123780251,1160,0.004374
1170,0.00298545742664337,1170,0.0028204
1180,0.00445363907356262,1180,0.0042028
1190,0.00508367677488327,1190,0.0047864
1200,0.00509018846511841,1200,0.0047808
1210,0.00366748595223427,1210,0.0034372
1220,0.00348380485296249,1220,0.00326
1230,0.00430056558623314,1230,0.0040188
1240,0.00443913962159157,1240,0.0041476
1250,0.0040290138669014,1250,0.003764
1260,0.00468872296657562,1260,0.0043784
1270,0.00507650040249825,1270,0.0047404
1280,0.0052461841943264,1280,0.0048996
1290,0.00542418284912109,1290,0.0050956
1300,0.00492426519656181,1300,0.004694
1310,0.0041458606133461,1310,0.0040292
1320,0.00475205039405823,1320,0.0047072
1330,0.0048124,1330,0.0048124
1340,0.00363533363285065,1340,0.0035952
1350,0.00465861930847168,1350,0.00448
1360,0.00493549989910126,1360,0.0045924
1370,0.00571082661781311,1370,0.0051936
1380,0.00558530550656319,1380,0.0050068
1390,0.00418649242916107,1390,0.0037268
1400,0.00487803308935165,1400,0.0043208
1410,0.00531134836425781,1410,0.0046976
1420,0.00475968729319572,1420,0.0041948
1430,0.00488391096735001,1430,0.0042716
1440,0.00582744283485413,1440,0.0050336
1450,0.00641335244159699,1450,0.0054548
1460,0.00543582313108444,1460,0.004546
1470,0.00597380115909576,1470,0.0048984
1480,0.00599834809598923,1480,0.0048168
1490,0.00707062769780159,1490,0.0055532
1500,0.00545992654418945,1500,0.0041956
