Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,0.00310137142438889,1100,0.0027618
1110,0.00312231395359039,1110,0.0028272
1120,0.00296978767671585,1120,0.0027256
1130,0.00279178592330933,1130,0.00259008
1140,0.00281730628064156,1140,0.00263528
1150,0.00283885540777683,1150,0.00267164
1160,0.0028406970258522,1160,0.00268272
1170,0.00278789474967957,1170,0.00263376
1180,0.00274182586345673,1180,0.0025874
1190,0.00285953632261276,1190,0.00269232
1200,0.00291050434827805,1200,0.0027336
1210,0.00311793923838615,1210,0.00292216
1220,0.00274630687592983,1220,0.00256988
1230,0.00289246958220482,1230,0.00270296
1240,0.00279722735650063,1240,0.00261352
1250,0.00274919183187962,1250,0.00256836
1260,0.00296666887647629,1260,0.00277032
1270,0.00275975542090416,1270,0.00257704
1280,0.00318659969325066,1280,0.00297608
1290,0.0028095129675293,1290,0.00263932
1300,0.00283958266596794,1300,0.0027068
1310,0.00285793973264694,1310,0.00277752
1320,0.00270048750936985,1320,0.002675
1330,0.0026964,1330,0.0026964
1340,0.00274716839871883,1340,0.00271684
1350,0.00288193836970329,1350,0.00277144
1360,0.00305608939401627,1360,0.00284364
1370,0.00292565506883144,1370,0.00266068
1380,0.00318001423848152,1380,0.00285064
1390,0.00304714819782257,1390,0.00271256
1400,0.00330687471826553,1400,0.00292912
1410,0.00321688434776306,1410,0.00284516
1420,0.00336945194011211,1420,0.00296956
1430,0.00324536089582443,1430,0.00283848
1440,0.00346117873778343,1440,0.00298968
1450,0.00349496433744431,1450,0.0029726
1460,0.00374074550886154,1460,0.0031284
1470,0.00377965121352196,1470,0.00309924
1480,0.00387690940590382,1480,0.00311324
1490,0.00400906576739788,1490,0.00314868
1500,0.00393277119140625,1500,0.00302208
