Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,-1.75629839515686E-4,1100,-1.564E-4
1110,3.10994485473633E-4,1110,2.816E-4
1120,-2.43196584033966E-4,1120,-2.232E-4
1130,3.67340253067017E-4,1130,3.408E-4
1140,6.74798778247833E-4,1140,6.312E-4
1150,3.73606309747696E-4,1150,3.516E-4
1160,-6.35332131385803E-5,1160,-6E-5
1170,4.93271578788757E-4,1170,4.66E-4
1180,3.64531227111816E-4,1180,3.44E-4
1190,5.42100247764587E-4,1190,5.104E-4
1200,8.04072608947754E-4,1200,7.552E-4
1210,1.96327654838562E-5,1210,1.84E-5
1220,6.63846495294571E-4,1220,6.212E-4
1230,2.16590642642975E-4,1230,2.024E-4
1240,5.81810275411606E-4,1240,5.436E-4
1250,4.38438916015625E-4,1250,4.096E-4
1260,2.70717423248291E-4,1260,2.528E-4
1270,7.41063682079315E-5,1270,6.92E-5
1280,3.82467343091965E-4,1280,3.572E-4
1290,-2.29928466796875E-5,1290,-2.16E-5
1300,-3.65071216106415E-5,1300,-3.48E-5
1310,2.13610806941986E-4,1310,2.076E-4
1320,7.40589770793915E-4,1320,7.336E-4
1330,3.756E-4,1330,3.756E-4
1340,7.13881159543991E-4,1340,7.06E-4
1350,0.00114219362688065,1350,0.0010984
1360,7.42839807128906E-4,1360,6.912E-4
1370,5.24284144210815E-4,1370,4.768E-4
1380,0.00100889795880318,1380,9.044E-4
1390,5.22581377601624E-4,1390,4.652E-4
1400,5.56354079437256E-4,1400,4.928E-4
1410,0.00131246023101807,1410,0.0011608
1420,0.00114601033806801,1420,0.00101
1430,8.02627937793732E-4,1430,7.02E-4
1440,6.50632325410843E-4,1440,5.62E-4
1450,0.00151433562088013,1450,0.001288
1460,0.00121678258209229,1460,0.0010176
1470,0.00123027327480316,1470,0.0010088
1480,0.00233119656944275,1480,0.001872
1490,0.00199595115952492,1490,0.0015676
1500,0.00243611938476562,1500,0.001872
