Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,2.5670704164505E-4,1100,2.286E-4
1110,1.17153036289215E-4,1110,1.0608E-4
1120,3.5254787961483E-4,1120,3.2356E-4
1130,3.05556381864548E-4,1130,2.8348E-4
1140,5.14480614771843E-4,1140,4.8124E-4
1150,2.36107286763191E-4,1150,2.222E-4
1160,2.18766030573845E-4,1160,2.066E-4
1170,2.47651971187592E-4,1170,2.3396E-4
1180,1.46999336700439E-4,1180,1.3872E-4
1190,3.13619438009262E-4,1190,2.9528E-4
1200,3.92155751228333E-4,1200,3.6832E-4
1210,2.28337598562241E-4,1210,2.14E-4
1220,1.99025710372925E-4,1220,1.8624E-4
1230,4.00136230716705E-4,1230,3.7392E-4
1240,2.08278660035133E-4,1240,1.946E-4
1250,3.45013748559952E-4,1250,3.2232E-4
1260,3.08712099580765E-4,1260,2.8828E-4
1270,2.73379677400589E-4,1270,2.5528E-4
1280,4.98021306324005E-4,1280,4.6512E-4
1290,5.36797811279297E-4,1290,5.0428E-4
1300,5.65860384964943E-4,1300,5.394E-4
1310,5.46086355781555E-4,1310,5.3072E-4
1320,5.57905576515198E-4,1320,5.5264E-4
1330,6.5568E-4,1330,6.5568E-4
1340,6.83344033455849E-4,1340,6.758E-4
1350,7.20255820941925E-4,1350,6.9264E-4
1360,7.4004556016922E-4,1360,6.886E-4
1370,9.23127149219513E-4,1370,8.3952E-4
1380,9.87211784191132E-4,1380,8.8496E-4
1390,0.00104561209430695,1390,9.308E-4
1400,0.00119769666354179,1400,0.00106088
1410,0.00115009867935181,1410,0.0010172
1420,0.00124104976966858,1420,0.00109376
1430,0.00141692414636612,1430,0.00123928
1440,0.00153340841219425,1440,0.00132452
1450,0.00201105651615143,1450,0.00171048
1460,0.00204131540177345,1460,0.00170716
1470,0.00212795324319839,1470,0.00174488
1480,0.00231206880271912,1480,0.00185664
1490,0.00247021237915993,1490,0.00194008
1500,0.00257265658874512,1500,0.00197692
