Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,3.47621311511993E-4,1100,3.0956E-4
1110,-1.09113122034073E-4,1110,-9.88E-5
1120,-1.88978564224243E-4,1120,-1.7344E-4
1130,-2.62656903953552E-4,1130,-2.4368E-4
1140,-2.2993618698597E-4,1140,-2.1508E-4
1150,-2.1443047015667E-4,1150,-2.018E-4
1160,-3.17242510938644E-4,1160,-2.996E-4
1170,-2.1758992647171E-4,1170,-2.0556E-4
1180,-2.16260269851685E-4,1180,-2.0408E-4
1190,-9.979572742939E-5,1190,-9.396E-5
1200,-6.06461544036865E-5,1200,-5.696E-5
1210,-7.89151812601089E-5,1210,-7.396E-5
1220,-2.05052906498909E-4,1220,-1.9188E-4
1230,5.54317949056625E-5,1230,5.18E-5
1240,-1.05231027002335E-4,1240,-9.832E-5
1250,-6.55089395999908E-5,1250,-6.12E-5
1260,-1.42297987346649E-4,1260,-1.3288E-4
1270,5.32452113771439E-5,1270,4.972E-5
1280,-9.7351430106163E-5,1280,-9.092E-5
1290,1.27312243652344E-5,1290,1.196E-5
1300,-6.21040689468384E-5,1300,-5.92E-5
1310,1.55824762058258E-4,1310,1.5144E-4
1320,2.51897436761856E-4,1320,2.4952E-4
1330,3.318E-4,1330,3.318E-4
1340,2.50404433922768E-4,1340,2.4764E-4
1350,1.64715468406677E-4,1350,1.584E-4
1360,4.90583789291382E-4,1360,4.5648E-4
1370,5.1003346780777E-4,1370,4.6384E-4
1380,2.97760994210243E-4,1380,2.6692E-4
1390,8.52620949268341E-4,1390,7.59E-4
1400,6.97339260931015E-4,1400,6.1768E-4
1410,5.69984021072388E-4,1410,5.0412E-4
1420,9.15038195080757E-4,1420,8.0644E-4
1430,0.00118807228307724,1430,0.00103912
1440,0.0013634104572773,1440,0.00117768
1450,0.0013662411218071,1450,0.00116204
1460,0.00179910679345131,1460,0.0015046
1470,0.00172701684170723,1470,0.00141612
1480,0.00223386413147926,1480,0.00179384
1490,0.00234365104638577,1490,0.00184068
1500,0.00280512900695801,1500,0.00215556
