Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,0.00177246891746521,1100,0.0015784
1110,0.001429072671175,1110,0.001294
1120,0.00214344229440689,1120,0.0019672
1130,0.0020147664349556,1130,0.0018692
1140,0.00154716221780777,1140,0.0014472
1150,9.69081212997436E-4,1150,9.12E-4
1160,7.50539024543762E-4,1160,7.088E-4
1170,7.71027935600281E-4,1170,7.284E-4
1180,0.00145134293212891,1180,0.0013696
1190,0.00121165353183746,1190,0.0011408
1200,7.59780473709106E-4,1200,7.136E-4
1210,5.10025103330612E-4,1210,4.78E-4
1220,0.00131016710114479,1220,0.001226
1230,0.00158419361348152,1230,0.0014804
1240,0.00152366649756432,1240,0.0014236
1250,0.00148743827562332,1250,0.0013896
1260,0.00129618816890717,1260,0.0012104
1270,0.0014500003259182,1270,0.001354
1280,0.0016562163670063,1280,0.0015468
1290,0.00130250218505859,1290,0.0012236
1300,8.40083419132233E-4,1300,8.008E-4
1310,0.00158582358217239,1310,0.0015412
1320,6.73557108879089E-4,1320,6.672E-4
1330,0.0014076,1330,0.0014076
1340,0.00141643729219437,1340,0.0014008
1350,0.00133810520672798,1350,0.0012868
1360,9.93462265205383E-4,1360,9.244E-4
1370,0.00134457770876884,1370,0.0012228
1380,0.00113740862317085,1380,0.0010196
1390,0.00140148866443634,1390,0.0012476
1400,0.00111586926159859,1400,9.884E-4
1410,0.00124552566375732,1410,0.0011016
1420,0.00231562168111801,1420,0.0020408
1430,0.00123755623912811,1430,0.0010824
1440,0.00124569463014603,1440,0.001076
1450,0.00283114920425415,1450,0.002408
1460,0.00281428801612854,1460,0.0023536
1470,0.00234786093244553,1470,0.0019252
1480,0.00104405726699829,1480,8.384E-4
1490,0.00263868919558525,1490,0.0020724
1500,0.0041856487121582,1500,0.0032164
