Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,0.00112430048160553,1100,0.0010012
1110,0.00141714532585144,1110,0.0012832
1120,7.70122516107559E-4,1120,7.068E-4
1130,0.00100026923370361,1130,9.28E-4
1140,8.02659890222549E-4,1140,7.508E-4
1150,0.00113909546089172,1150,0.001072
1160,0.0014498279238224,1160,0.0013692
1170,0.00129817224082947,1170,0.0012264
1180,0.00119489945259094,1180,0.0011276
1190,0.00107272972226143,1190,0.00101
1200,0.00146632520794868,1200,0.0013772
1210,0.0015480008784771,1210,0.0014508
1220,0.00123365163259506,1220,0.0011544
1230,0.00138943325300217,1230,0.0012984
1240,0.00102962009739876,1240,9.62E-4
1250,0.00167326101932526,1250,0.0015632
1260,0.00147609531726837,1260,0.0013784
1270,0.0013613297003746,1270,0.0012712
1280,0.00173459433317184,1280,0.00162
1290,0.00110025029296875,1290,0.0010336
1300,2.16524997138977E-4,1300,2.064E-4
1310,4.63029205799103E-4,1310,4.5E-4
1320,0.00116620679283142,1320,0.0011552
1330,0.0014168,1330,0.0014168
1340,0.00162716368546486,1340,0.0016092
1350,0.00106607511496544,1350,0.0010252
1360,0.00158455296821594,1360,0.0014744
1370,0.00155833785481453,1370,0.0014172
1380,0.00120255639052391,1380,0.001078
1390,0.00182656345653534,1390,0.001626
1400,0.0017797008336544,1400,0.0015764
1410,0.00199175563659668,1410,0.0017616
1420,0.0013829281188488,1420,0.0012188
1430,0.00178864835596085,1430,0.0015644
1440,0.00201302399897575,1440,0.0017388
1450,0.00199544286937714,1450,0.0016972
1460,0.00190744062004089,1460,0.0015952
1470,0.0016161361456871,1470,0.0013252
1480,0.00132250574612618,1480,0.001062
1490,0.00192872340931892,1490,0.0015148
1500,0.00217793237304687,1500,0.0016736
