Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,4.67148422241211E-4,1100,4.16E-4
1110,6.04760583257675E-4,1110,5.476E-4
1120,8.1065528011322E-5,1120,7.44E-5
1130,8.3988123588562E-4,1130,7.792E-4
1140,-2.72827389431E-4,1140,-2.552E-4
1150,6.43078892660141E-4,1150,6.052E-4
1160,4.54897806072235E-4,1160,4.296E-4
1170,-1.01618179321289E-5,1170,-9.6E-6
1180,5.52731069946289E-4,1180,5.216E-4
1190,-2.02650327730179E-4,1190,-1.908E-4
1200,0.00159323921084404,1200,0.0014964
1210,3.69181350946426E-4,1210,3.46E-4
1220,7.64727224779129E-4,1220,7.156E-4
1230,5.94126110649109E-4,1230,5.552E-4
1240,4.13988621282577E-4,1240,3.868E-4
1250,1.95242329788208E-4,1250,1.824E-4
1260,8.88826982975006E-4,1260,8.3E-4
1270,6.27976507472992E-4,1270,5.864E-4
1280,0.001385105697155,1280,0.0012936
1290,4.9392041015625E-4,1290,4.64E-4
1300,6.11389381456375E-4,1300,5.828E-4
1310,7.40846729278564E-4,1310,7.2E-4
1320,0.00100064419412613,1320,9.912E-4
1330,0.0012244,1330,0.0012244
1340,5.99821960115433E-4,1340,5.932E-4
1350,8.93456631660461E-4,1350,8.592E-4
1360,8.42572929382324E-4,1360,7.84E-4
1370,8.26451264238358E-4,1370,7.516E-4
1380,2.85579254150391E-4,1380,2.56E-4
1390,7.34669434547424E-4,1390,6.54E-4
1400,0.00171060815982819,1400,0.0015152
1410,0.00138075158004761,1410,0.0012212
1420,8.96384323835373E-4,1420,7.9E-4
1430,0.00131941971540451,1430,0.001154
1440,9.70623027801514E-4,1440,8.384E-4
1450,0.0014550790096283,1450,0.0012376
1460,0.00176395210800171,1460,0.0014752
1470,0.00191224077606201,1470,0.001568
1480,0.00262707921094894,1480,0.0021096
1490,0.00250525229744911,1490,0.0019676
1500,0.00265578656005859,1500,0.0020408
