Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,9.40136199760437E-4,1100,8.372E-4
1110,5.4468210310936E-4,1110,4.932E-4
1120,6.80776100826263E-4,1120,6.248E-4
1130,4.57019563674927E-4,1130,4.24E-4
1140,8.56968790626526E-4,1140,8.016E-4
1150,0.00116162234873772,1150,0.0010932
1160,2.91829225683212E-4,1160,2.756E-4
1170,4.87767260742187E-4,1170,4.608E-4
1180,0.00115802245635986,1180,0.0010928
1190,0.00116194684767723,1190,0.001094
1200,5.6642826795578E-4,1200,5.32E-4
1210,9.66273501205444E-4,1210,9.056E-4
1220,0.00110584087786675,1220,0.0010348
1230,4.84974699831009E-4,1230,4.532E-4
1240,0.00108441900486946,1240,0.0010132
1250,5.06516833639145E-4,1250,4.732E-4
1260,8.93967187213898E-4,1260,8.348E-4
1270,0.0013287743016243,1270,0.0012408
1280,8.1247541975975E-4,1280,7.588E-4
1290,0.00116326772460937,1290,0.0010928
1300,0.00102177978301048,1300,9.74E-4
1310,7.89824929714203E-4,1310,7.676E-4
1320,0.00156517227458954,1320,0.0015504
1330,4.44E-4,1330,4.44E-4
1340,0.00114868129920959,1340,0.001136
1350,0.00144167629671097,1350,0.0013864
1360,0.00101624612503052,1360,9.456E-4
1370,0.00195155096297264,1370,0.0017748
1380,0.00170232008528709,1380,0.001526
1390,0.00158436967964172,1390,0.0014104
1400,0.00202987953495979,1400,0.001798
1410,0.00178190672302246,1410,0.001576
1420,0.00196478366475105,1420,0.0017316
1430,0.00165464836406708,1430,0.0014472
1440,0.00240479264473915,1440,0.0020772
1450,0.00230113173694611,1450,0.0019572
1460,0.00289942453327179,1460,0.0024248
1470,0.00364984323635101,1470,0.0029928
1480,0.00272172180671692,1480,0.0021856
1490,0.00397866048946381,1490,0.0031248
1500,0.00295145233154297,1500,0.002268
