Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,9.5199458278656E-4,1100,8.4776E-4
1110,0.0010089650636673,1110,9.136E-4
1120,9.70563571658134E-4,1120,8.9076E-4
1130,8.29404277963638E-4,1130,7.6948E-4
1140,8.91264647417069E-4,1140,8.3368E-4
1150,7.46447555379868E-4,1150,7.0248E-4
1160,7.64431620483398E-4,1160,7.2192E-4
1170,7.5756352684021E-4,1170,7.1568E-4
1180,8.49612083282471E-4,1180,8.0176E-4
1190,9.84914580245018E-4,1190,9.2732E-4
1200,0.00105376952135563,1200,9.8972E-4
1210,0.00113110337141991,1210,0.00106008
1220,7.3561714987278E-4,1220,6.8836E-4
1230,8.10973580141067E-4,1230,7.5784E-4
1240,8.66165231208801E-4,1240,8.0928E-4
1250,9.07234589009285E-4,1250,8.4756E-4
1260,7.65504916276932E-4,1260,7.1484E-4
1270,7.96493532056808E-4,1270,7.4376E-4
1280,9.37366211748123E-4,1280,8.7544E-4
1290,0.00107730002563477,1290,0.00101204
1300,9.17419769854546E-4,1300,8.7452E-4
1310,8.5160331530571E-4,1310,8.2764E-4
1320,9.53519425177574E-4,1320,9.4452E-4
1330,9.6396E-4,1330,9.6396E-4
1340,0.00100226488008499,1340,9.912E-4
1350,0.00121132420983315,1350,0.00116488
1360,0.00122185971284866,1360,0.00113692
1370,0.00130116592602253,1370,0.00118332
1380,0.00115307086039066,1380,0.00103364
1390,0.00112438123918533,1390,0.00100092
1400,0.0012076767164278,1400,0.00106972
1410,0.00121621917755127,1410,0.00107568
1420,0.00155739400952339,1420,0.00137256
1430,0.00147262789726257,1430,0.001288
1440,0.00130682165288925,1440,0.0011288
1450,0.00149881603221893,1450,0.0012748
1460,0.00154790623837471,1460,0.00129452
1470,0.00175418822212219,1470,0.0014384
1480,0.00180363881587505,1480,0.00144836
1490,0.00210840485077858,1490,0.00165592
1500,0.00212311968688965,1500,0.00163148
