,Wavelength,S2c,Wavelength.1,S2
0,1100,0.0013003345841789199,1100,0.00115796
1,1110,0.0010709872593498199,1110,0.00096976
2,1120,0.000936568350234032,1120,0.00085956
3,1130,0.00124555077122688,1130,0.00115556
4,1140,0.00117871695333481,1140,0.00110256
5,1150,0.0011425382494115802,1150,0.00107524
6,1160,0.0011163209103202802,1160,0.00105424
7,1170,0.00129897671808243,1170,0.00122716
8,1180,0.00117145924694061,1180,0.00110548
9,1190,0.0012971320348548901,1190,0.00122128
10,1200,0.00130670316672325,1200,0.00122728
11,1210,0.00132943698273182,1210,0.00124596
12,1220,0.00133316448778152,1220,0.00124752
13,1230,0.00129671876051903,1230,0.00121176
14,1240,0.0011198670481395699,1240,0.00104632
15,1250,0.0013491844416570699,1250,0.00126044
16,1260,0.0013150355844497698,1260,0.001228
17,1270,0.00129262067459106,1270,0.00120704
18,1280,0.00128150116155148,1280,0.00119684
19,1290,0.00135938819091797,1290,0.00127704
20,1300,0.0014133291528368,1300,0.00134724
21,1310,0.00139896557378769,1310,0.0013595999999999999
22,1320,0.0014419290913581801,1320,0.00142832
23,1330,0.00140524,1330,0.00140524
24,1340,0.00142440525754452,1340,0.00140868
25,1350,0.0016489848559379599,1350,0.00158576
26,1360,0.00170483455272675,1360,0.00158632
27,1370,0.00127578740662575,1370,0.00116024
28,1380,0.0015238330514431,1380,0.001366
29,1390,0.0016910427828598,1390,0.00150536
30,1400,0.0015740936807584801,1400,0.00139428
31,1410,0.0017447309025573699,1410,0.00154312
32,1420,0.00175260155265331,1420,0.0015446
33,1430,0.00180177395243645,1430,0.00157588
34,1440,0.0021422706053972197,1440,0.00185044
35,1450,0.00197178725393295,1450,0.00167708
36,1460,0.00217241607227325,1460,0.0018168
37,1470,0.00233078735408783,1470,0.0019112000000000003
38,1480,0.00220357850083351,1480,0.00176952
39,1490,0.00224489755574226,1490,0.00176312
40,1500,0.00255563498535156,1500,0.00196384
