Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,6.63036332759857E-4,1100,5.9044E-4
1110,6.56622447738648E-4,1110,5.9456E-4
1120,6.30349855713844E-4,1120,5.7852E-4
1130,7.23987972946167E-4,1130,6.7168E-4
1140,5.07210919442177E-4,1140,4.7444E-4
1150,4.00723582286835E-4,1150,3.7712E-4
1160,6.31435427646637E-4,1160,5.9632E-4
1170,3.45586491508484E-4,1170,3.2648E-4
1180,6.23772271881103E-4,1180,5.8864E-4
1190,6.98102764205933E-4,1190,6.5728E-4
1200,4.83891577482224E-4,1200,4.5448E-4
1210,7.32046072998047E-4,1210,6.8608E-4
1220,6.42729935817718E-4,1220,6.0144E-4
1230,7.13550595426559E-4,1230,6.668E-4
1240,6.21881976499558E-4,1240,5.8104E-4
1250,7.75874179406166E-4,1250,7.2484E-4
1260,7.01723548679352E-4,1260,6.5528E-4
1270,5.91694372286797E-4,1270,5.5252E-4
1280,8.78432833909988E-4,1280,8.204E-4
1290,7.80096192626953E-4,1290,7.3284E-4
1300,7.52760062727928E-4,1300,7.1756E-4
1310,9.45032319498062E-4,1310,9.1844E-4
1320,7.90218169283867E-4,1320,7.8276E-4
1330,7.378E-4,1330,7.378E-4
1340,7.85633294219971E-4,1340,7.7696E-4
1350,9.28687440180779E-4,1350,8.9308E-4
1360,8.79285035591126E-4,1360,8.1816E-4
1370,0.00111225649654388,1370,0.00101152
1380,0.00112598545300484,1380,0.00100936
1390,0.00118068342887878,1390,0.00105104
1400,0.00134333318190098,1400,0.00118988
1410,0.00123326940177918,1410,0.00109076
1420,0.00116802281386852,1420,0.0010294
1430,0.00141321970973015,1430,0.00123604
1440,0.0016061588309288,1440,0.00138736
1450,0.0019387728562355,1450,0.001649
1460,0.00188926540851593,1460,0.00158
1470,0.0021546855887413,1470,0.0017668
1480,0.00227969107258797,1480,0.00183064
1490,0.00220155602890491,1490,0.00172908
1500,0.00236912610168457,1500,0.00182052
