Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,0.00108930926805496,1100,9.7004E-4
1110,0.00110327944242954,1110,9.99E-4
1120,0.00101209875885963,1120,9.2888E-4
1130,0.00100600353577614,1130,9.3332E-4
1140,0.00103003030238628,1140,9.6348E-4
1150,0.00103564179104805,1150,9.7464E-4
1160,9.44357680091858E-4,1160,8.9184E-4
1170,0.0010402314289856,1170,9.8272E-4
1180,0.00115823439311981,1180,0.001093
1190,0.00108373316772938,1190,0.00102036
1200,9.83413168072701E-4,1200,9.2364E-4
1210,0.0010537673473835,1210,9.876E-4
1220,0.00109694969492912,1220,0.00102648
1230,0.00113059459370136,1230,0.00105652
1240,9.64674829716683E-4,1240,9.0132E-4
1250,0.00104882809440613,1250,9.7984E-4
1260,0.0011323441587925,1260,0.0010574
1270,0.00114916273983479,1270,0.00107308
1280,0.00110088920345306,1280,0.00102816
1290,0.00120772056152344,1290,0.00113456
1300,0.00132050874708653,1300,0.00125876
1310,0.00111978983130455,1310,0.00108828
1320,0.00128908654596806,1320,0.00127692
1330,0.00128192,1330,0.00128192
1340,0.0012422745571804,1340,0.00122856
1350,0.00126256902222633,1350,0.00121416
1360,0.0015150407015419,1360,0.00140972
1370,0.00141649084432125,1370,0.0012882
1380,0.0014944273126173,1380,0.00133964
1390,0.00161285777881622,1390,0.00143576
1400,0.00150310434529781,1400,0.0013314
1410,0.00143651531074524,1410,0.00127052
1420,0.00155866483286858,1420,0.00137368
1430,0.00183108930902481,1430,0.00160152
1440,0.0017452691160202,1440,0.00150752
1450,0.00192184239587784,1450,0.0016346
1460,0.00198961170793533,1460,0.00166392
1470,0.0022848350374794,1470,0.00187352
1480,0.00205787871524334,1480,0.00165252
1490,0.00245111358648777,1490,0.00192508
1500,0.00236959458618164,1500,0.00182088
