Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,8.63820318088531E-4,1100,7.6924E-4
1110,8.25107244272232E-4,1110,7.4712E-4
1120,8.86621524910927E-4,1120,8.1372E-4
1130,0.00121946616405487,1130,0.00113136
1140,0.00115827628058434,1140,0.00108344
1150,0.00135433349872589,1150,0.00127456
1160,0.00158659375397205,1160,0.00149836
1170,0.00219270860521317,1170,0.00207148
1180,0.00231108559253693,1180,0.00218092
1190,0.00260208118927002,1190,0.00244992
1200,0.00328477289104462,1200,0.00308512
1210,0.00403393578798294,1210,0.00378064
1220,0.00445025079063892,1220,0.00416436
1230,0.00546703032984257,1230,0.00510884
1240,0.00639002353919506,1240,0.00597036
1250,0.00769618717918873,1250,0.00718996
1260,0.00892073878652573,1260,0.00833032
1270,0.0103530023270559,1270,0.00966756
1280,0.0122231080677509,1280,0.0114156
1290,0.0141971460791016,1290,0.01333712
1300,0.0168171943998814,1300,0.0160308
1310,0.0199970995492935,1310,0.0194344
1320,0.0230631930486202,1320,0.02284552
1330,0.02623044,1330,0.02623044
1340,0.0305457816444111,1340,0.03020856
1350,0.0339945274213314,1350,0.03269112
1360,0.0377373369125175,1360,0.03511396
1370,0.0455182878233862,1370,0.04139572
1380,0.0496812411658573,1380,0.04453544
1390,0.0572566308836174,1390,0.05096964
1400,0.0625865825167465,1400,0.05543712
1410,0.0680444599736786,1410,0.06018164
1420,0.074922479592495,1420,0.06603056
1430,0.0867296425349236,1430,0.07585608
1440,0.0950960502152443,1440,0.0821416
1450,0.111028077863312,1450,0.0944336
1460,0.127435495607281,1460,0.1065748
1470,0.142236566582298,1470,0.1166312
1480,0.157426501324749,1480,0.1264168
1490,0.17408880566411,1490,0.1367276
1500,0.193883350189209,1500,0.1489868
