Wavelength,S2c,Wavelength,S2
nm,V,nm,V
900,-0.024049790566349,900,-0.0076308
905,-0.01037712265625,905,-0.0035344
910,-0.00334675815048218,910,-0.0012112
915,0.00900502626419067,915,0.003436
920,0.0335851571983337,920,0.0134268
925,0.0737902574237823,925,0.0308232
930,0.11059613123951,930,0.0481624
935,0.0816893663692474,935,0.0371604
940,0.128494213831329,940,0.0610144
945,0.178797376344681,945,0.088744
950,0.188784241790771,950,0.097952
955,0.198164218139648,955,0.107424
960,0.222222352030277,960,0.12578
965,0.250133973658085,965,0.1475
970,0.283648205557823,970,0.173844
975,0.333599088526726,975,0.211992
980,0.407323920458794,980,0.267468
985,0.449037272773743,985,0.303664
990,0.568081062327385,990,0.394148
995,0.715275477470398,995,0.507324
1000,0.865330244982719,1000,0.625764
1005,0.772495026437759,1005,0.567952
1010,0.522648471906662,1010,0.389624
1015,0.290408406719208,1015,0.219028
1020,0.14479435904932,1020,0.110308
1025,0.0645025337576866,1025,0.049564
1030,0.0124341759714603,1030,0.0096276
1035,0.00214904505877495,1035,0.0016772
1040,-0.0354907988929749,1040,-0.0279152
1045,-0.0157033333860397,1045,-0.0124524
1050,-0.0395743717993259,1050,-0.0316588
