Wavelength,S2c,Wavelength,S2
nm,V,nm,V
800,-0.0228443544387817,800,-0.0018
805,-0.0220858016601563,805,-0.0017664
810,-0.021586093397522,810,-0.0017648
815,-0.0209237638343811,815,-0.0017592
820,-0.0202609802734375,820,-0.0017632
825,-0.0193933997642517,825,-0.0017572
830,-0.0179520331043243,830,-0.0016996
835,-0.0159977911560059,835,-0.0015904
840,-0.015035708770752,840,-0.001576
845,-0.0133488062271118,845,-0.0014836
850,-0.00916603055267334,850,-0.0010888
855,-0.00672930183105469,855,-8.624E-4
860,-0.00284710992240906,860,-3.98E-4
865,0.00146522918796539,865,2.26E-4
870,0.00594972188110351,870,0.0010208
875,0.0112793488479614,875,0.0021628
880,0.0191267156433105,880,0.0041088
885,0.0297485413650513,885,0.0071408
890,0.0430742988502502,890,0.0114656
895,0.0591729548493385,895,0.0172924
900,0.0789191664959907,900,0.0250404
905,0.103335518945313,905,0.0351956
910,0.13277389798584,910,0.0480512
915,0.164167184865952,915,0.0626404
920,0.19289628583374,920,0.0771168
925,0.23345177473259,925,0.097516
930,0.244392411000252,930,0.106428
935,0.297244092178345,935,0.135216
940,0.369032524749756,940,0.175232
945,0.46385290680027,945,0.230228
950,0.592679831943512,950,0.307516
955,0.77538317451477,955,0.420332
960,1.000654283216,960,0.56638
965,1.10539883968401,965,0.651836
970,0.908919513936996,970,0.557064
975,0.561669879397869,975,0.356924
980,0.28857517286396,980,0.189492
985,0.13232865096283,985,0.089488
990,0.0407809757815361,990,0.0282948
995,0.0323160074508667,995,0.0229208
1000,0.0157516312132835,1000,0.0113908
