Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,-0.014624755130024,1100,-0.01302348
1110,-0.0158735296115398,1110,-0.0143732
1120,-0.0141451501328659,1120,-0.01298208
1130,-0.015695517728405,1130,-0.01456152
1140,-0.0141366923009825,1140,-0.01322332
1150,-0.0147014295403528,1150,-0.01383548
1160,-0.0115247977969122,1160,-0.01088388
1170,-0.0120975595663834,1170,-0.01142872
1180,-0.00851739928352356,1180,-0.00803768
1190,-0.0102951039764929,1190,-0.00969308
1200,-0.006720905636549,1200,-0.0063124
1210,-0.00682575771971226,1210,-0.00639716
1220,-0.00257459590544701,1220,-0.0024092
1230,0.00295629105417728,1230,0.0027626
1240,0.00250683595855236,1240,0.0023422
1250,0.00474759983638287,1250,0.00443532
1260,0.00862650492888451,1260,0.00805556
1270,0.0142408451507092,1270,0.013298
1280,0.0163287857806444,1280,0.01525004
1290,0.024343846739502,1290,0.02286916
1300,0.0325978802814817,1300,0.03107356
1310,0.0414093809841156,1310,0.04024416
1320,0.0508910354012489,1320,0.05041072
1330,0.0544118,1330,0.0544118
1340,0.0674226577875996,1340,0.06667832
1350,0.0761639750482798,1350,0.07324372
1360,0.08403603156744,1360,0.07819412
1370,0.0966477354969025,1370,0.0878944
1380,0.106117234884024,1380,0.095126
1390,0.123997821700287,1390,0.1103824
1400,0.136852265475082,1400,0.1212192
1410,0.143913389955902,1410,0.1272836
1420,0.164601124457598,1420,0.145066
1430,0.192341210207462,1430,0.1682268
1440,0.231094877232313,1440,0.199614
1450,0.269996635391617,1450,0.2296424
1460,0.310986000207806,1460,0.2600788
1470,0.344544811258316,1470,0.28252
1480,0.378891669778585,1480,0.304258
1490,0.414539549599743,1490,0.3255752
1500,0.459560387939453,1500,0.3531424
